PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH,CLASS
108.00,3.00,1432.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14683,SAT,10792,BUF,10,F
108.00,10.00,1236.00,UA,United Air Lines Inc.,United Air Lines Inc.,11540,ELP,13930,ORD,2,F
108.00,19.00,1210.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10423,AUS,14122,PIT,1,F
108.00,156.00,1091.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12266,IAH,11042,CLE,1,F
109.00,0.00,191.00,B6,JetBlue Airways,JetBlue Airways,14683,SAT,12266,IAH,5,F
109.00,0.00,308.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,12266,IAH,10747,BRO,9,F
109.00,0.00,374.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,10185,AEX,2,L
109.00,0.00,491.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13061,LRD,10185,AEX,10,L
109.00,0.00,737.00,MQ,Envoy Air,Envoy Air,11298,DFW,11775,FSD,2,F
109.00,0.00,772.00,MQ,Envoy Air,Envoy Air,15412,TYS,11298,DFW,5,F
109.00,0.00,816.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",11540,ELP,10185,AEX,7,L
109.00,0.00,876.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,14730,SDF,3,L
109.00,0.00,993.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11540,ELP,14771,SFO,8,F
109.00,0.00,1224.00,UA,United Air Lines Inc.,United Air Lines Inc.,14492,RDU,14683,SAT,7,F
109.00,0.00,1299.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,13433,MOT,9,F
109.00,0.00,1335.00,X9,Omni Air International LLC,Omni Air International LLC,14524,RIC,14683,SAT,7,L
109.00,0.00,1372.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10559,BFI,11540,ELP,8,L
109.00,0.00,1375.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10713,BOI,10423,AUS,10,F
109.00,0.00,1430.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,13230,MDT,5,L
109.00,0.00,1504.00,YX,Republic Airline,Republic Airline,10423,AUS,11618,EWR,1,F
109.00,0.00,1521.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11259,DAL,14307,PVD,6,F
109.00,0.00,1586.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12953,LGA,14683,SAT,10,F
109.00,56.00,1235.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12266,IAH,10821,BWI,10,F
109.00,396.00,945.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12191,HOU,13930,ORD,9,F
109.00,1095.00,1476.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14771,SFO,11259,DAL,3,F
109.00,2304.00,1391.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14570,RNO,14683,SAT,4,F
110.00,0.00,423.00,4B,Boutique Air,Boutique Air,11298,DFW,11085,CNM,2,F
110.00,0.00,436.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,13495,MSY,11259,DAL,1,L
110.00,0.00,514.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,11973,GPT,10423,AUS,7,L
110.00,0.00,550.00,UA,United Air Lines Inc.,United Air Lines Inc.,11298,DFW,15016,STL,7,F
110.00,0.00,551.00,MQ,Envoy Air,Envoy Air,14674,SAF,11298,DFW,4,F
110.00,0.00,603.00,AA,American Airlines Inc.,American Airlines Inc.,12217,HSV,11298,DFW,7,F
110.00,0.00,682.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10423,AUS,10599,BHM,1,F
110.00,0.00,682.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10599,BHM,10423,AUS,1,F
110.00,0.00,762.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,15376,TUS,14683,SAT,10,F
110.00,0.00,876.00,G4,Allegiant Air,Allegiant Air,14730,SDF,10423,AUS,3,L
110.00,0.00,964.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,12266,IAH,2,L
110.00,0.00,987.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,AZA,12266,IAH,6,L
110.00,0.00,988.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11540,ELP,13796,OAK,1,F
110.00,0.00,1020.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11996,GSP,14683,SAT,3,F
110.00,0.00,1057.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,13487,MSP,12191,HOU,10,L
110.00,0.00,1126.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10590,IFP,11140,CRP,6,L
110.00,0.00,1130.00,G4,Allegiant Air,Allegiant Air,15008,STC,14683,SAT,9,L
110.00,0.00,1136.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10279,AMA,14831,SJC,4,F
110.00,0.00,1214.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,12191,HOU,14869,SLC,8,L
110.00,0.00,1345.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,14570,RNO,11298,DFW,5,L
110.00,0.00,1360.00,MQ,Envoy Air,Envoy Air,11298,DFW,14698,SBP,8,F
110.00,0.00,1375.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10423,AUS,10713,BOI,7,F
110.00,0.00,1426.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10615,BIF,11066,CMH,8,L
